date,metric,series,value
2013-01-01,EUR_TL,TP.DK.EUR.A,
2013-01-02,EUR_TL,TP.DK.EUR.A,2.3452
2013-01-03,EUR_TL,TP.DK.EUR.A,2.3479
2013-01-04,EUR_TL,TP.DK.EUR.A,2.3263
2013-01-05,EUR_TL,TP.DK.EUR.A,
2013-01-06,EUR_TL,TP.DK.EUR.A,
2013-01-07,EUR_TL,TP.DK.EUR.A,2.3168
2013-01-08,EUR_TL,TP.DK.EUR.A,2.3126
2013-01-09,EUR_TL,TP.DK.EUR.A,2.3214
2013-01-10,EUR_TL,TP.DK.EUR.A,2.3118
2013-01-11,EUR_TL,TP.DK.EUR.A,2.313
2013-01-12,EUR_TL,TP.DK.EUR.A,
2013-01-13,EUR_TL,TP.DK.EUR.A,
2013-01-14,EUR_TL,TP.DK.EUR.A,2.3394
2013-01-15,EUR_TL,TP.DK.EUR.A,2.3535
2013-01-16,EUR_TL,TP.DK.EUR.A,2.3534
2013-01-17,EUR_TL,TP.DK.EUR.A,2.3419
2013-01-18,EUR_TL,TP.DK.EUR.A,2.3377
2013-01-19,EUR_TL,TP.DK.EUR.A,
2013-01-20,EUR_TL,TP.DK.EUR.A,
2013-01-21,EUR_TL,TP.DK.EUR.A,2.3353
2013-01-22,EUR_TL,TP.DK.EUR.A,2.3353
2013-01-23,EUR_TL,TP.DK.EUR.A,2.3431
2013-01-24,EUR_TL,TP.DK.EUR.A,2.3485
2013-01-25,EUR_TL,TP.DK.EUR.A,2.3498
2013-01-26,EUR_TL,TP.DK.EUR.A,
2013-01-27,EUR_TL,TP.DK.EUR.A,
2013-01-28,EUR_TL,TP.DK.EUR.A,2.3616
2013-01-29,EUR_TL,TP.DK.EUR.A,2.3654
2013-01-30,EUR_TL,TP.DK.EUR.A,2.3695
2013-01-31,EUR_TL,TP.DK.EUR.A,2.3805
2013-02-01,EUR_TL,TP.DK.EUR.A,2.3787
2013-02-02,EUR_TL,TP.DK.EUR.A,
2013-02-03,EUR_TL,TP.DK.EUR.A,
2013-02-04,EUR_TL,TP.DK.EUR.A,2.3828
2013-02-05,EUR_TL,TP.DK.EUR.A,2.3708
2013-02-06,EUR_TL,TP.DK.EUR.A,2.3707
2013-02-07,EUR_TL,TP.DK.EUR.A,2.3764
2013-02-08,EUR_TL,TP.DK.EUR.A,2.3873
2013-02-09,EUR_TL,TP.DK.EUR.A,
2013-02-10,EUR_TL,TP.DK.EUR.A,
2013-02-11,EUR_TL,TP.DK.EUR.A,2.3636
2013-02-12,EUR_TL,TP.DK.EUR.A,2.3624
2013-02-13,EUR_TL,TP.DK.EUR.A,2.3711
2013-02-14,EUR_TL,TP.DK.EUR.A,2.3712
2013-02-15,EUR_TL,TP.DK.EUR.A,2.3522
2013-02-16,EUR_TL,TP.DK.EUR.A,
2013-02-17,EUR_TL,TP.DK.EUR.A,
2013-02-18,EUR_TL,TP.DK.EUR.A,2.3558
2013-02-19,EUR_TL,TP.DK.EUR.A,2.357
2013-02-20,EUR_TL,TP.DK.EUR.A,2.3624
2013-02-21,EUR_TL,TP.DK.EUR.A,2.3791
2013-02-22,EUR_TL,TP.DK.EUR.A,2.3634
2013-02-23,EUR_TL,TP.DK.EUR.A,
2013-02-24,EUR_TL,TP.DK.EUR.A,
2013-02-25,EUR_TL,TP.DK.EUR.A,2.3636
2013-02-26,EUR_TL,TP.DK.EUR.A,2.3823
2013-02-27,EUR_TL,TP.DK.EUR.A,2.364
2013-02-28,EUR_TL,TP.DK.EUR.A,2.3627
2013-03-01,EUR_TL,TP.DK.EUR.A,2.356
2013-03-02,EUR_TL,TP.DK.EUR.A,
2013-03-03,EUR_TL,TP.DK.EUR.A,
2013-03-04,EUR_TL,TP.DK.EUR.A,2.3473
2013-03-05,EUR_TL,TP.DK.EUR.A,2.343
2013-03-06,EUR_TL,TP.DK.EUR.A,2.3409
2013-03-07,EUR_TL,TP.DK.EUR.A,2.3356
2013-03-08,EUR_TL,TP.DK.EUR.A,2.3396
2013-03-09,EUR_TL,TP.DK.EUR.A,
2013-03-10,EUR_TL,TP.DK.EUR.A,
2013-03-11,EUR_TL,TP.DK.EUR.A,2.3512
2013-03-12,EUR_TL,TP.DK.EUR.A,2.3438
2013-03-13,EUR_TL,TP.DK.EUR.A,2.347
2013-03-14,EUR_TL,TP.DK.EUR.A,2.3496
2013-03-15,EUR_TL,TP.DK.EUR.A,2.3456
2013-03-16,EUR_TL,TP.DK.EUR.A,
2013-03-17,EUR_TL,TP.DK.EUR.A,
2013-03-18,EUR_TL,TP.DK.EUR.A,2.3608
2013-03-19,EUR_TL,TP.DK.EUR.A,2.3479
2013-03-20,EUR_TL,TP.DK.EUR.A,2.3491
2013-03-21,EUR_TL,TP.DK.EUR.A,2.3507
2013-03-22,EUR_TL,TP.DK.EUR.A,2.3426
2013-03-23,EUR_TL,TP.DK.EUR.A,
2013-03-24,EUR_TL,TP.DK.EUR.A,
2013-03-25,EUR_TL,TP.DK.EUR.A,2.351
2013-03-26,EUR_TL,TP.DK.EUR.A,2.3551
2013-03-27,EUR_TL,TP.DK.EUR.A,2.3379
2013-03-28,EUR_TL,TP.DK.EUR.A,2.3257
2013-03-29,EUR_TL,TP.DK.EUR.A,2.3206
2013-03-30,EUR_TL,TP.DK.EUR.A,
2013-03-31,EUR_TL,TP.DK.EUR.A,
2013-04-01,EUR_TL,TP.DK.EUR.A,2.3189
2013-04-02,EUR_TL,TP.DK.EUR.A,2.3193
2013-04-03,EUR_TL,TP.DK.EUR.A,2.3173
2013-04-04,EUR_TL,TP.DK.EUR.A,2.3153
2013-04-05,EUR_TL,TP.DK.EUR.A,2.3149
2013-04-06,EUR_TL,TP.DK.EUR.A,
2013-04-07,EUR_TL,TP.DK.EUR.A,
2013-04-08,EUR_TL,TP.DK.EUR.A,2.3287
2013-04-09,EUR_TL,TP.DK.EUR.A,2.3268
2013-04-10,EUR_TL,TP.DK.EUR.A,2.325
2013-04-11,EUR_TL,TP.DK.EUR.A,2.3371
