SERIE_CODE,SERIE_NAME,START_DATE
TP.DK.USD.A.YTL,(USD) ABD Doları (Döviz Alış),02-01-1950
TP.DK.USD.S.YTL,(USD) ABD Doları (Döviz Satış),02-01-1950
TP.DK.EUR.A.YTL,(EUR) Euro (Döviz Alış),04-01-1999
TP.DK.EUR.S.YTL,(EUR) Euro (Döviz Satış),04-01-1999
TP.DK.ATS.A.YTL,(ATS) Avusturya Şilini (Döviz Alış),03-07-1961
TP.DK.ATS.S.YTL,(ATS) Avusturya Şilini (Döviz Satış),03-07-1961
TP.DK.AUD.A.YTL,(AUD) Avustralya Doları (Döviz Alış),05-02-1976
TP.DK.AUD.S.YTL,(AUD) Avustralya Doları (Döviz Satış),05-02-1976
TP.DK.BEF.A.YTL,(BEF) Belçika Frangı (Döviz Alış),02-01-1951
TP.DK.BEF.S.YTL,(BEF) Belçika Frangı (Döviz Satış),02-01-1951
TP.DK.BGN.A.YTL,(BGN) Bulgar Levası (Döviz Alış),24-04-2009
TP.DK.BGN.S.YTL,(BGN) Bulgar Levası (Döviz Satış),24-04-2009
TP.DK.CAD.A.YTL,(CAD) Kanada Doları (Döviz Alış),02-05-1962
TP.DK.CAD.S.YTL,(CAD) Kanada Doları (Döviz Satış),02-05-1962
TP.DK.CHF.A.YTL,(CHF) İsviçre Frangı (Döviz Alış),02-01-1950
TP.DK.CHF.S.YTL,(CHF) İsviçre Frangı (Döviz Satış),02-01-1950
TP.DK.CNY.A.YTL,(CNY) Çin Yuanı (Döviz Alış),20-03-2012
TP.DK.CNY.S.YTL,(CNY) Çin Yuanı (Döviz Satış),20-03-2012
TP.DK.DEM.A.YTL,(DEM) Alman Markı (Döviz Alış),01-09-1959
TP.DK.DEM.S.YTL,(DEM) Alman Markı (Döviz Satış),01-09-1959
TP.DK.DKK.A.YTL,(DKK) Danimarka Kronu (Döviz Alış),31-08-1961
TP.DK.DKK.S.YTL,(DKK) Danimarka Kronu (Döviz Satış),31-08-1961
TP.DK.ECU.A.YTL,(ECU) ECU (Döviz Alış),18-04-1988
TP.DK.ECU.S.YTL,(ECU) ECU (Döviz Satış),16-05-1989
TP.DK.ESP.A.YTL,(ESP) İspanyol Pezetası (Döviz Alış),31-12-1988
TP.DK.ESP.S.YTL,(ESP) İspanyol Pezetası (Döviz Satış),31-12-1988
TP.DK.FIM.A.YTL,(FIM) Finlandiya Markkası (Döviz Alış),26-01-1987
TP.DK.FIM.S.YTL,(FIM) Finlandiya Markkası (Döviz Satış),26-01-1987
TP.DK.FRF.A.YTL,(FRF) Fransız Frangı (Döviz Alış),02-01-1950
TP.DK.FRF.S.YTL,(FRF) Fransız Frangı (Döviz Satış),02-01-1950
TP.DK.GBP.A.YTL,(GBP) İngiliz Sterlini (Döviz Alış),02-01-1950
TP.DK.GBP.S.YTL,(GBP) İngiliz Sterlini (Döviz Satış),02-01-1950
