date,series,value
2013-01-01,TP.DK.EUR.A,
2013-01-02,TP.DK.EUR.A,2.3452
2013-01-03,TP.DK.EUR.A,2.3479
2013-01-04,TP.DK.EUR.A,2.3263
2013-01-05,TP.DK.EUR.A,
2013-01-06,TP.DK.EUR.A,
2013-01-07,TP.DK.EUR.A,2.3168
2013-01-08,TP.DK.EUR.A,2.3126
2013-01-09,TP.DK.EUR.A,2.3214
2013-01-10,TP.DK.EUR.A,2.3118
2013-01-11,TP.DK.EUR.A,2.313
2013-01-12,TP.DK.EUR.A,
2013-01-13,TP.DK.EUR.A,
2013-01-14,TP.DK.EUR.A,2.3394
2013-01-15,TP.DK.EUR.A,2.3535
2013-01-16,TP.DK.EUR.A,2.3534
2013-01-17,TP.DK.EUR.A,2.3419
2013-01-18,TP.DK.EUR.A,2.3377
2013-01-19,TP.DK.EUR.A,
2013-01-20,TP.DK.EUR.A,
2013-01-21,TP.DK.EUR.A,2.3353
2013-01-22,TP.DK.EUR.A,2.3353
2013-01-23,TP.DK.EUR.A,2.3431
2013-01-24,TP.DK.EUR.A,2.3485
2013-01-25,TP.DK.EUR.A,2.3498
2013-01-26,TP.DK.EUR.A,
2013-01-27,TP.DK.EUR.A,
2013-01-28,TP.DK.EUR.A,2.3616
2013-01-29,TP.DK.EUR.A,2.3654
2013-01-30,TP.DK.EUR.A,2.3695
2013-01-31,TP.DK.EUR.A,2.3805
2013-02-01,TP.DK.EUR.A,2.3787
2013-02-02,TP.DK.EUR.A,
2013-02-03,TP.DK.EUR.A,
2013-02-04,TP.DK.EUR.A,2.3828
2013-02-05,TP.DK.EUR.A,2.3708
2013-02-06,TP.DK.EUR.A,2.3707
2013-02-07,TP.DK.EUR.A,2.3764
2013-02-08,TP.DK.EUR.A,2.3873
2013-02-09,TP.DK.EUR.A,
2013-02-10,TP.DK.EUR.A,
2013-02-11,TP.DK.EUR.A,2.3636
2013-02-12,TP.DK.EUR.A,2.3624
2013-02-13,TP.DK.EUR.A,2.3711
2013-02-14,TP.DK.EUR.A,2.3712
2013-02-15,TP.DK.EUR.A,2.3522
2013-02-16,TP.DK.EUR.A,
2013-02-17,TP.DK.EUR.A,
2013-02-18,TP.DK.EUR.A,2.3558
2013-02-19,TP.DK.EUR.A,2.357
2013-02-20,TP.DK.EUR.A,2.3624
2013-02-21,TP.DK.EUR.A,2.3791
2013-02-22,TP.DK.EUR.A,2.3634
2013-02-23,TP.DK.EUR.A,
2013-02-24,TP.DK.EUR.A,
2013-02-25,TP.DK.EUR.A,2.3636
2013-02-26,TP.DK.EUR.A,2.3823
2013-02-27,TP.DK.EUR.A,2.364
2013-02-28,TP.DK.EUR.A,2.3627
2013-03-01,TP.DK.EUR.A,2.356
2013-03-02,TP.DK.EUR.A,
2013-03-03,TP.DK.EUR.A,
2013-03-04,TP.DK.EUR.A,2.3473
2013-03-05,TP.DK.EUR.A,2.343
2013-03-06,TP.DK.EUR.A,2.3409
2013-03-07,TP.DK.EUR.A,2.3356
2013-03-08,TP.DK.EUR.A,2.3396
2013-03-09,TP.DK.EUR.A,
2013-03-10,TP.DK.EUR.A,
2013-03-11,TP.DK.EUR.A,2.3512
2013-03-12,TP.DK.EUR.A,2.3438
2013-03-13,TP.DK.EUR.A,2.347
2013-03-14,TP.DK.EUR.A,2.3496
2013-03-15,TP.DK.EUR.A,2.3456
2013-03-16,TP.DK.EUR.A,
2013-03-17,TP.DK.EUR.A,
2013-03-18,TP.DK.EUR.A,2.3608
2013-03-19,TP.DK.EUR.A,2.3479
2013-03-20,TP.DK.EUR.A,2.3491
2013-03-21,TP.DK.EUR.A,2.3507
2013-03-22,TP.DK.EUR.A,2.3426
2013-03-23,TP.DK.EUR.A,
2013-03-24,TP.DK.EUR.A,
2013-03-25,TP.DK.EUR.A,2.351
2013-03-26,TP.DK.EUR.A,2.3551
2013-03-27,TP.DK.EUR.A,2.3379
2013-03-28,TP.DK.EUR.A,2.3257
2013-03-29,TP.DK.EUR.A,2.3206
2013-03-30,TP.DK.EUR.A,
2013-03-31,TP.DK.EUR.A,
2013-04-01,TP.DK.EUR.A,2.3189
2013-04-02,TP.DK.EUR.A,2.3193
2013-04-03,TP.DK.EUR.A,2.3173
2013-04-04,TP.DK.EUR.A,2.3153
2013-04-05,TP.DK.EUR.A,2.3149
2013-04-06,TP.DK.EUR.A,
2013-04-07,TP.DK.EUR.A,
2013-04-08,TP.DK.EUR.A,2.3287
2013-04-09,TP.DK.EUR.A,2.3268
2013-04-10,TP.DK.EUR.A,2.325
2013-04-11,TP.DK.EUR.A,2.3371
2013-04-12,TP.DK.EUR.A,2.3389
2013-04-13,TP.DK.EUR.A,
2013-04-14,TP.DK.EUR.A,
2013-04-15,TP.DK.EUR.A,2.3361
2013-04-16,TP.DK.EUR.A,2.339
2013-04-17,TP.DK.EUR.A,2.3452
2013-04-18,TP.DK.EUR.A,2.3536
2013-04-19,TP.DK.EUR.A,2.3421
2013-04-20,TP.DK.EUR.A,
2013-04-21,TP.DK.EUR.A,
2013-04-22,TP.DK.EUR.A,2.3498
2013-04-23,TP.DK.EUR.A,
2013-04-24,TP.DK.EUR.A,2.3501
2013-04-25,TP.DK.EUR.A,2.344
2013-04-26,TP.DK.EUR.A,2.3498
2013-04-27,TP.DK.EUR.A,
2013-04-28,TP.DK.EUR.A,
2013-04-29,TP.DK.EUR.A,2.3438
2013-04-30,TP.DK.EUR.A,2.3501
2013-05-01,TP.DK.EUR.A,
2013-05-02,TP.DK.EUR.A,2.3485
2013-05-03,TP.DK.EUR.A,2.3603
2013-05-04,TP.DK.EUR.A,
2013-05-05,TP.DK.EUR.A,
2013-05-06,TP.DK.EUR.A,2.3521
2013-05-07,TP.DK.EUR.A,2.3522
2013-05-08,TP.DK.EUR.A,2.3565
2013-05-09,TP.DK.EUR.A,2.3542
2013-05-10,TP.DK.EUR.A,2.353
2013-05-11,TP.DK.EUR.A,
2013-05-12,TP.DK.EUR.A,
2013-05-13,TP.DK.EUR.A,2.3414
2013-05-14,TP.DK.EUR.A,2.3423
2013-05-15,TP.DK.EUR.A,2.3508
2013-05-16,TP.DK.EUR.A,2.3456
2013-05-17,TP.DK.EUR.A,2.3466
2013-05-18,TP.DK.EUR.A,
2013-05-19,TP.DK.EUR.A,
2013-05-20,TP.DK.EUR.A,2.3596
2013-05-21,TP.DK.EUR.A,2.3704
2013-05-22,TP.DK.EUR.A,2.3779
2013-05-23,TP.DK.EUR.A,2.3796
2013-05-24,TP.DK.EUR.A,2.3833
2013-05-25,TP.DK.EUR.A,
2013-05-26,TP.DK.EUR.A,
2013-05-27,TP.DK.EUR.A,2.3891
2013-05-28,TP.DK.EUR.A,2.3871
2013-05-29,TP.DK.EUR.A,2.3888
2013-05-30,TP.DK.EUR.A,2.4057
2013-05-31,TP.DK.EUR.A,2.4208
2013-06-01,TP.DK.EUR.A,
2013-06-02,TP.DK.EUR.A,
2013-06-03,TP.DK.EUR.A,2.4498
2013-06-04,TP.DK.EUR.A,2.4603
2013-06-05,TP.DK.EUR.A,2.4522
2013-06-06,TP.DK.EUR.A,2.4573
2013-06-07,TP.DK.EUR.A,2.474
2013-06-08,TP.DK.EUR.A,
