date,series,value
2013-01-01,TP.DK.USD.A,
2013-01-02,TP.DK.USD.A,1.7776
2013-01-03,TP.DK.USD.A,1.7708
2013-01-04,TP.DK.USD.A,1.7729
2013-01-05,TP.DK.USD.A,
2013-01-06,TP.DK.USD.A,
2013-01-07,TP.DK.USD.A,1.78
2013-01-08,TP.DK.USD.A,1.7736
2013-01-09,TP.DK.USD.A,1.7705
2013-01-10,TP.DK.USD.A,1.7692
2013-01-11,TP.DK.USD.A,1.7668
2013-01-12,TP.DK.USD.A,
2013-01-13,TP.DK.USD.A,
2013-01-14,TP.DK.USD.A,1.7624
2013-01-15,TP.DK.USD.A,1.7612
2013-01-16,TP.DK.USD.A,1.7629
2013-01-17,TP.DK.USD.A,1.762
2013-01-18,TP.DK.USD.A,1.751
2013-01-19,TP.DK.USD.A,
2013-01-20,TP.DK.USD.A,
2013-01-21,TP.DK.USD.A,1.7496
2013-01-22,TP.DK.USD.A,1.754
2013-01-23,TP.DK.USD.A,1.7572
2013-01-24,TP.DK.USD.A,1.7622
2013-01-25,TP.DK.USD.A,1.7625
2013-01-26,TP.DK.USD.A,
2013-01-27,TP.DK.USD.A,
2013-01-28,TP.DK.USD.A,1.7571
2013-01-29,TP.DK.USD.A,1.7597
2013-01-30,TP.DK.USD.A,1.7629
2013-01-31,TP.DK.USD.A,1.7588
2013-02-01,TP.DK.USD.A,1.7548
2013-02-02,TP.DK.USD.A,
2013-02-03,TP.DK.USD.A,
2013-02-04,TP.DK.USD.A,1.7462
2013-02-05,TP.DK.USD.A,1.7459
2013-02-06,TP.DK.USD.A,1.7509
2013-02-07,TP.DK.USD.A,1.7569
2013-02-08,TP.DK.USD.A,1.7601
2013-02-09,TP.DK.USD.A,
2013-02-10,TP.DK.USD.A,
2013-02-11,TP.DK.USD.A,1.7635
2013-02-12,TP.DK.USD.A,1.7647
2013-02-13,TP.DK.USD.A,1.7667
2013-02-14,TP.DK.USD.A,1.759
2013-02-15,TP.DK.USD.A,1.7619
2013-02-16,TP.DK.USD.A,
2013-02-17,TP.DK.USD.A,
2013-02-18,TP.DK.USD.A,1.7675
2013-02-19,TP.DK.USD.A,1.7651
2013-02-20,TP.DK.USD.A,1.7698
2013-02-21,TP.DK.USD.A,1.776
2013-02-22,TP.DK.USD.A,1.7911
2013-02-23,TP.DK.USD.A,
2013-02-24,TP.DK.USD.A,
2013-02-25,TP.DK.USD.A,1.7904
2013-02-26,TP.DK.USD.A,1.7961
2013-02-27,TP.DK.USD.A,1.8069
2013-02-28,TP.DK.USD.A,1.805
2013-03-01,TP.DK.USD.A,1.7955
2013-03-02,TP.DK.USD.A,
2013-03-03,TP.DK.USD.A,
2013-03-04,TP.DK.USD.A,1.801
2013-03-05,TP.DK.USD.A,1.8021
2013-03-06,TP.DK.USD.A,1.7949
2013-03-07,TP.DK.USD.A,1.7914
2013-03-08,TP.DK.USD.A,1.7969
2013-03-09,TP.DK.USD.A,
2013-03-10,TP.DK.USD.A,
2013-03-11,TP.DK.USD.A,1.7949
2013-03-12,TP.DK.USD.A,1.8028
2013-03-13,TP.DK.USD.A,1.8021
2013-03-14,TP.DK.USD.A,1.806
2013-03-15,TP.DK.USD.A,1.8129
2013-03-16,TP.DK.USD.A,
2013-03-17,TP.DK.USD.A,
2013-03-18,TP.DK.USD.A,1.8085
2013-03-19,TP.DK.USD.A,1.8137
2013-03-20,TP.DK.USD.A,1.8151
2013-03-21,TP.DK.USD.A,1.8187
2013-03-22,TP.DK.USD.A,1.8151
2013-03-23,TP.DK.USD.A,
2013-03-24,TP.DK.USD.A,
2013-03-25,TP.DK.USD.A,1.8174
2013-03-26,TP.DK.USD.A,1.814
2013-03-27,TP.DK.USD.A,1.8168
2013-03-28,TP.DK.USD.A,1.8176
2013-03-29,TP.DK.USD.A,1.8137
2013-03-30,TP.DK.USD.A,
2013-03-31,TP.DK.USD.A,
2013-04-01,TP.DK.USD.A,1.8087
2013-04-02,TP.DK.USD.A,1.8099
2013-04-03,TP.DK.USD.A,1.8049
2013-04-04,TP.DK.USD.A,1.8061
2013-04-05,TP.DK.USD.A,1.8075
2013-04-06,TP.DK.USD.A,
2013-04-07,TP.DK.USD.A,
2013-04-08,TP.DK.USD.A,1.8007
2013-04-09,TP.DK.USD.A,1.7881
2013-04-10,TP.DK.USD.A,1.783
2013-04-11,TP.DK.USD.A,1.7834
2013-04-12,TP.DK.USD.A,1.7849
2013-04-13,TP.DK.USD.A,
2013-04-14,TP.DK.USD.A,
2013-04-15,TP.DK.USD.A,1.7883
2013-04-16,TP.DK.USD.A,1.789
2013-04-17,TP.DK.USD.A,1.7921
2013-04-18,TP.DK.USD.A,1.7887
2013-04-19,TP.DK.USD.A,1.7944
2013-04-20,TP.DK.USD.A,
2013-04-21,TP.DK.USD.A,
2013-04-22,TP.DK.USD.A,1.7965
2013-04-23,TP.DK.USD.A,
2013-04-24,TP.DK.USD.A,1.8016
2013-04-25,TP.DK.USD.A,1.8034
2013-04-26,TP.DK.USD.A,1.799
2013-04-27,TP.DK.USD.A,
2013-04-28,TP.DK.USD.A,
2013-04-29,TP.DK.USD.A,1.8004
2013-04-30,TP.DK.USD.A,1.7953
2013-05-01,TP.DK.USD.A,
2013-05-02,TP.DK.USD.A,1.7963
2013-05-03,TP.DK.USD.A,1.7927
2013-05-04,TP.DK.USD.A,
2013-05-05,TP.DK.USD.A,
2013-05-06,TP.DK.USD.A,1.7942
2013-05-07,TP.DK.USD.A,1.7947
2013-05-08,TP.DK.USD.A,1.7991
2013-05-09,TP.DK.USD.A,1.7938
2013-05-10,TP.DK.USD.A,1.7899
2013-05-11,TP.DK.USD.A,
